"Question","Answer","Mode"
"What is CGPA?","CGPA = Cumulative Grade Point Average. LPU uses 10-point scale. O=Outstanding (10), A+=Excellent (9), A=Very Good (8), B+=Good (7), B=Above Average (6), C=Average (5), D=Pass (4), F=Fail (0).","Academic"
"How to calculate CGPA?","CGPA = Sum of (Grade Points × Credits) / Total Credits. Example: If you have 3 subjects (3 credits each): A+(9), A(8), B+(7) = (9×3 + 8×3 + 7×3) / 9 = 8.0 CGPA.","Academic"
"What is minimum passing CGPA?","Minimum 5.0 CGPA required overall. Individual subject minimum: Grade D (4.0). Below this = fail, need to reappear.","Academic"
"How to improve CGPA?","Attend classes (75%+), complete assignments on time, study regularly, use library resources, attend doubt sessions, participate in class, take mock tests.","Academic"
"Can I see my grade card online?","Yes! Login to UMS → Examinations → Grade Card → Select semester → Download PDF. Available 30 days after exam results.","Academic"
"What is minimum attendance required?","75% minimum attendance mandatory for exam eligibility. Below 75% = detained, cannot appear in exams. Medical cases require certificate.","Academic"
"How to check attendance?","Login UMS portal (ums.lpu.in) → My Attendance → View subject-wise percentage. Updates after each class. Parents can track via ERP.","Academic"
"What if attendance is below 75%?","Below 75% = Detained status. Cannot sit for exams. Must repeat semester. Only exception: Medical emergency with valid doctor certificate + hospitalization proof.","Academic"
"Can I apply for attendance condonation?","Yes, for medical emergencies only. Submit medical certificate + hospital documents to HOD within 7 days. Maximum 10% condonation possible (65% to 75%).","Academic"
"How is attendance calculated?","Attendance % = (Classes Attended / Total Classes) × 100. Calculated per subject. Theory and practicals counted separately.","Academic"
"What is MTE?","Mid-Term Exam. 20% weightage. Held mid-semester. 1.5 hour duration. Syllabus: First half of course. MCQ + descriptive format.","Academic"
"What is ETE?","End-Term Exam. 60% weightage. Comprehensive exam. 3 hour duration. Full semester syllabus. Major component of grading.","Academic"
"What are CA marks?","Continuous Assessment. 20% weightage. Includes: Assignments (5%), Quizzes (5%), Class participation (5%), Project (5%). Evaluated throughout semester.","Academic"
"When are exam results declared?","Results typically declared within 30 days of exam completion. MTE: 2-3 weeks. ETE: 3-4 weeks. Check UMS portal regularly.","Academic"
"How to apply for re-evaluation?","Apply within 10 days of result via UMS. Fee: ₹1,000/subject. Results in 30 days. Marks may increase/decrease/remain same.","Academic"
"What is supplementary exam?","For failed students. Held in June-July. Fee: ₹1,500/subject. Maximum 3 attempts allowed. Same syllabus as regular exam.","Academic"
"Can I get my answer sheet checked?","Yes, apply for Answer Script Viewing within 7 days via UMS. Fee: ₹500/subject. Can view in presence of controller. No photocopies allowed.","Academic"
"What if I miss an exam due to illness?","Apply for Special Exam within 7 days with medical certificate. Fee: ₹2,000/subject. Valid only for hospitalization cases.","Academic"
"How many attempts for a subject?","Maximum 4 attempts: 1 regular + 3 supplementary. After 4 failures, must take readmission in that semester.","Academic"
"What is the exam pattern?","Varies by subject. Typically: 30% MCQs + 70% descriptive. Some subjects: 100% practical. Check syllabus for specific pattern.","Academic"
"How to access course content?","UMS → Course Content → Select subject → Download PPTs, notes, videos. Also available on Blackboard LMS. Faculty shares Google Drive links.","Academic"
"Can I change my elective?","Yes, within first 2 weeks of semester. Apply via UMS → Course Registration → Change Elective. Subject to seat availability.","Academic"
"What is credit system?","Each course has credits based on contact hours. Theory: 3-4 credits. Lab: 1-2 credits. Project: 2-4 credits. Minimum 18 credits/semester.","Academic"
"How many subjects per semester?","Typically 6-8 subjects. Total 20-24 credits. Includes theory, labs, projects. Some electives optional.","Academic"
"What is course registration?","Done at start of each semester via UMS. Select subjects, electives. Lock courses. Changes allowed in first week only.","Academic"
"Can I take extra credits?","Yes, maximum 28 credits per semester allowed. Above 24 requires HOD approval. Good for fast-track completion.","Academic"
"What is minor degree?","Additional specialization. 18-24 credits from different department. Mentioned on degree. Popular: CSE students take AI minor.","Academic"
"How to drop a course?","Apply within 2 weeks via UMS. Requires HOD approval. Will show 'W' (Withdrawn) on transcript. No refund.","Academic"
"What is audit course?","Non-credit course. Attend classes but not graded. Shows 'Audit' on transcript. Useful for skill development without GPA impact.","Academic"
"Can I repeat a course for better grade?","Yes. Old grade remains on transcript but replaced in CGPA calculation. Must pay course fee again.","Academic"
