"Question","Answer","Mode"
"What is the CGPA calculation?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"How does CGPA calculation work at LPU?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"Tell me about CGPA calculation.","CGPA is calculated by dividing total grade points by total credits.","Academic"
"I want to know about CGPA calculation.","CGPA is calculated by dividing total grade points by total credits.","Academic"
"What are the details for CGPA calculation?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"Can you explain CGPA calculation?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"Where can I find info on CGPA calculation?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"Importance of CGPA calculation?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"Process for CGPA calculation?","CGPA is calculated by dividing total grade points by total credits.","Academic"
"Guidelines for CGPA calculation.","CGPA is calculated by dividing total grade points by total credits.","Academic"
"What is the attendance policy?","75% attendance is mandatory for all students to avoid detention.","Academic"
"How does attendance policy work at LPU?","75% attendance is mandatory for all students to avoid detention.","Academic"
"Tell me about attendance policy.","75% attendance is mandatory for all students to avoid detention.","Academic"
"I want to know about attendance policy.","75% attendance is mandatory for all students to avoid detention.","Academic"
"What are the details for attendance policy?","75% attendance is mandatory for all students to avoid detention.","Academic"
"Can you explain attendance policy?","75% attendance is mandatory for all students to avoid detention.","Academic"
"Where can I find info on attendance policy?","75% attendance is mandatory for all students to avoid detention.","Academic"
"Importance of attendance policy?","75% attendance is mandatory for all students to avoid detention.","Academic"
"Process for attendance policy?","75% attendance is mandatory for all students to avoid detention.","Academic"
"Guidelines for attendance policy.","75% attendance is mandatory for all students to avoid detention.","Academic"
"What is the MTE exams?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"How does MTE exams work at LPU?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"Tell me about MTE exams.","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"I want to know about MTE exams.","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"What are the details for MTE exams?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"Can you explain MTE exams?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"Where can I find info on MTE exams?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"Importance of MTE exams?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"Process for MTE exams?","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"Guidelines for MTE exams.","Mid-term exams usually hold 20% weightage in the total grade.","Academic"
"What is the ETE exams?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"How does ETE exams work at LPU?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"Tell me about ETE exams.","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"I want to know about ETE exams.","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"What are the details for ETE exams?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"Can you explain ETE exams?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"Where can I find info on ETE exams?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"Importance of ETE exams?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"Process for ETE exams?","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"Guidelines for ETE exams.","End-term exams are comprehensive and usually hold 60% weightage.","Academic"
"What is the supplementary exams?","Students can clear backlogs by appearing in supplementary exams.","Academic"
"How does supplementary exams work at LPU?","Students can clear backlogs by appearing in supplementary exams.","Academic"
"Tell me about supplementary exams.","Students can clear backlogs by appearing in supplementary exams.","Academic"
"I want to know about supplementary exams.","Students can clear backlogs by appearing in supplementary exams.","Academic"
"What are the details for supplementary exams?","Students can clear backlogs by appearing in supplementary exams.","Academic"
